SubjID,CaudalMiddleFrontal.L,EntorhinalCortex.L,PostcentralGyrus.L,LateralFrontalTriangularis.L,SupramarginalGyrus.L,MiddleFILLING.L,Insula.L,LateralOrbitofrontal.L,LateralFrontalOrbitalis.L,MiddleTemporal.L,Pericalcarine.L,Parahippocampal.L,ParacentralGyrus.L,MedialOrbitofrontal.L,Cuneus.L,InferiorTemporal.L,RostralMiddleFrontal.L,RostralAnteriorCingulate.L,IsthmusCingulateGyrus.L,InferiorOccipitalCortex.L,LingualGyrus.L,SuperiorParietal.L,LateralFrontalOpercularis.L,FusiformGyrus.L,CaudalAnteriorCingulate.L,SuperiorFrontalGyrus.L,Precuneus.L,TransverseTemporal.L,PrecentralGyrus.L,InferiorParietal.L,PosteriorCingulate.L,SuperiorTemporal.L,CaudalMiddleFrontal.R,EntorhinalCortex.R,PostcentralGyrus.R,LateralFrontalTriangularis.R,SupramarginalGyrus.R,MiddleFILLING.R,Insula.R,LateralOrbitofrontal.R,LateralFrontalOrbitalis.R,MiddleTemporal.R,Pericalcarine.R,Parahippocampal.R,ParacentralGyrus.R,MedialOrbitofrontal.R,Cuneus.R,InferiorTemporal.R,RostralMiddleFrontal.R,RostralAnteriorCingulate.R,IsthmusCingulateGyrus.R,InferiorOccipitalCortex.R,LingualGyrus.R,SuperiorParietal.R,LateralFrontalOpercularis.R,FusiformGyrus.R,CaudalAnteriorCingulate.R,SuperiorFrontalGyrus.R,Precuneus.R,TransverseTemporal.R,PrecentralGyrus.R,InferiorParietal.R,PosteriorCingulate.R,SuperiorTemporal.R
0051090,3.3933,3.4005,2.8778,3.5277,3.4907,1.9399,3.5023,3.392,3.6311,3.5015,2.8324,2.8375,3.0899,2.9118,3.0063,3.5327,3.4824,2.9438,3.0495,2.9417,3.0713,3.2633,3.341,3.2251,2.6899,3.5445,3.4387,3.4821,3.0613,3.313,2.8834,3.4165,3.5737,3.3649,2.8232,3.4062,3.6774,1.8197,3.0806,3.4433,3.5132,3.6524,2.7362,2.6212,3.2751,3.0487,2.9023,3.8297,3.4701,2.8931,2.924,2.9267,3.042,3.261,3.31,3.35,2.7554,3.7085,3.449,3.2339,3.1375,3.4099,2.8836,3.548
0050648,3.004,3.3749,2.8137,3.0814,3.2346,1.8512,3.4455,3.0732,3.1541,3.3215,2.5316,2.7415,2.95,2.8734,2.9134,3.231,3.1619,3.0192,2.8736,2.8371,2.8308,2.9742,3.0319,3.0085,2.8516,3.2147,3.1198,3.0865,2.9665,3.1165,2.909,3.2882,3.1218,3.4637,2.8528,3.0683,3.1347,1.8599,3.5037,3.0426,3.2166,3.3858,2.5978,2.746,2.9213,2.9034,2.9487,3.2122,3.0418,3.0527,2.9321,2.8916,2.8867,3.0012,3.0116,3.0866,3.0633,3.2415,3.1395,3.0997,2.9483,3.1775,3.0154,3.3313
0051354,3.2049,3.5057,2.8072,3.2645,3.2835,1.857,3.1662,3.1776,3.2799,3.535,2.6929,2.9136,3.0362,3.013,2.9497,3.4683,3.2706,2.8345,3.1289,2.918,2.855,3.1458,3.2068,3.1793,2.8999,3.4093,3.2974,3.177,2.9965,3.3099,3.0098,3.4143,2.9332,2.9223,2.6683,3.0027,2.9543,1.6788,2.8745,2.8221,3.0341,3.1976,2.6104,2.5217,2.7611,2.6565,2.8408,3.1375,3.007,2.4543,2.7964,2.8144,2.7406,2.8214,2.9062,2.8977,2.3967,3.0342,2.9722,3.0047,2.742,3.0094,2.583,3.0992
0050757,3.3987,3.8085,3.0842,3.4571,3.639,2.1293,3.9268,3.5733,3.5912,3.8369,2.9252,3.1428,3.3255,3.2978,3.014,3.7229,3.421,3.4316,3.3945,3.3302,3.3227,3.2534,3.4706,3.5386,3.029,3.5629,3.5045,3.6399,3.3086,3.6372,3.229,3.8552,3.3512,3.586,2.966,3.456,3.3214,1.9403,3.6662,2.998,3.377,3.5817,2.9039,3.0464,3.1934,3.2154,2.9367,3.6508,3.3208,3.1512,3.2475,3.1578,3.2287,3.0677,3.5314,3.5292,2.9779,3.5409,3.4212,3.4854,3.1821,3.2914,3.1572,3.7359
0050620,2.9925,3.5997,2.7779,3.3292,3.3943,1.8182,3.4397,3.2625,3.4261,3.1385,2.9746,2.6683,3.0804,3.143,2.9424,3.2909,3.2366,3.1525,2.92,2.9234,3.1005,3.0278,3.2118,3.1396,2.867,3.4023,3.289,3.2114,2.8982,3.1469,2.977,3.3158,3.188,3.2197,2.9123,3.3381,3.1354,1.77,3.2992,3.3365,3.4732,3.4552,2.882,2.7654,3.0566,3.1085,2.8828,3.4496,3.3055,2.7813,2.8014,2.9428,3.079,3.0536,3.2796,3.1962,2.8171,3.3811,3.2564,3.151,3.0038,3.2277,2.938,3.2979
0050741,3.2048,4.1085,2.9542,3.2166,3.1929,2.0721,3.8165,3.5078,3.5213,3.4333,2.9915,3.1792,3.1495,3.0348,3.1418,3.4351,3.1175,2.8707,3.472,3.1485,3.1784,3.0896,3.2349,3.5222,2.5919,3.3982,3.4619,3.309,3.2117,3.3848,3.0279,3.5935,3.3009,3.9255,3.0021,3.5292,3.2555,2.0243,3.8952,3.1644,3.5598,3.6598,3.0544,3.1789,3.2097,3.0664,3.1606,3.7374,3.3312,3.0023,3.2286,3.1918,3.1542,3.1299,3.5668,3.5843,2.8262,3.4527,3.4315,3.4407,3.2994,3.4167,3.1322,3.6988
0050190,3.2144,3.2379,3.0215,3.0996,3.368,1.9116,3.5956,3.1977,3.1492,3.1927,2.8296,2.7582,3.2683,3.6649,3.0075,3.2622,3.2552,3.5852,3.2002,2.8609,3.0352,3.1038,3.189,3.2159,3.2073,3.6947,3.3896,3.1581,3.0717,3.2659,3.2431,3.3061,3.1745,3.4952,2.8523,3.3989,3.2069,2.1343,3.8253,3.3076,3.4049,3.6993,3.2344,2.9304,3.3291,3.8436,3.4252,3.7482,3.6542,3.7466,3.5645,3.3745,3.2237,3.1607,3.3744,3.5824,3.5243,3.8787,3.6198,3.4478,3.1364,3.5896,3.5053,3.6232
0050576,3.1224,3.3112,2.8983,3.2412,3.2311,1.9103,3.2363,3.4067,3.4221,3.3901,2.9879,2.752,3.1682,3.1155,3.1024,3.5171,3.2757,3.2401,2.7847,3.1248,3.0763,3.1537,3.155,3.145,2.9877,3.4251,3.3801,3.205,2.9887,3.2241,2.8195,3.3575,3.2108,3.2996,2.9141,3.1921,3.1811,1.8116,3.0384,3.4347,3.3675,3.346,3.0834,2.8249,3.3,3.3229,3.0928,3.3552,3.2585,3.0396,2.7003,3.2426,3.0388,3.2292,3.1826,3.1353,2.9519,3.4801,3.2814,3.203,3.0757,3.2399,2.8771,3.381
0050005,3.5129,3.3708,2.9766,3.4012,3.5783,1.7963,3.3302,3.4409,3.514,3.6119,2.4852,2.7813,3.1651,3.2122,2.6756,3.5174,3.5013,3.2928,3.0025,2.6721,2.848,3.1563,3.4627,3.2479,3.3341,3.5932,3.4243,3.6258,3.1439,3.2544,3.187,3.6244,3.4981,3.6384,3.0155,3.5835,3.3646,1.8911,3.2055,3.3414,3.4746,3.7158,2.5995,2.7789,3.1405,3.1444,2.7545,3.4712,3.5133,3.0968,3.2512,2.8948,2.9452,3.165,3.4607,3.3972,3.0955,3.673,3.5947,3.432,3.1469,3.3185,3.2228,3.6675
0050500,3.3626,3.8538,3.0983,3.4518,3.3751,1.9601,3.7364,3.4023,3.675,3.5392,2.8595,2.9241,3.2354,3.0408,2.9587,3.5801,3.33,2.9052,3.2622,3.1387,3.1025,3.1597,3.4765,3.3177,2.7946,3.3881,3.3586,3.4431,3.3737,3.342,2.9854,3.6361,3.4408,4.2052,3.2132,3.5967,3.7435,2.1019,3.8243,3.5289,3.7892,3.7495,3.0159,3.2107,3.3083,3.2031,3.0507,3.9978,3.5474,2.9904,3.4445,3.3571,3.28,3.3095,3.4368,3.8551,3.1412,3.624,3.5327,3.6848,3.4789,3.5811,3.2013,3.8465
