"vertex_name","lasso_coef","asym_him_coef","asym_mip_coef","mip_coef","him_coef"
"vertex432",0,0,0,0,0
"vertex433",0,0,0,0,0
"vertex434",0,0,0,0,0
"vertex435",0,0,0,0,0
"vertex436",0,0,0,0,0
"vertex437",0,0,0,0,0
"vertex438",0,0,0,0,0
"vertex439",0,0,0,0,0
"vertex440",0,0,0,0,0
"vertex441",0,0,0,0,0
"vertex442",0,0,0,0,0
"vertex443",0,0,0,0,0
"vertex444",0,0,0,0,0
"vertex445",0,0,0,0,0
"vertex446",0,0,0,0,0
"vertex447",0,0,0,0,0
"vertex448",0,0,0,0,0
"vertex449",0,0,0,0,0
"vertex450",0,0,0,0,0
"vertex451",0,0,0,0,0
"vertex452",0,0,0,0,0
"vertex453",0,0,0,0,0
"vertex454",0,0,0,0,0
"vertex455",0,0,0,0,0
"vertex456",0,0,0,0,0
"vertex457",0,0,0,0,0
"vertex458",0,0,0,0,0
"vertex459",0,0,0,0,0
"vertex460",0,0,0,0,0
"vertex461",0,0,0,0,0
"vertex462",0,0,0,0,0
"vertex463",0,0,0,0,0
"vertex464",0,0,0,0,0
"vertex465",0,0,0,0,0
"vertex466",0,0,0,0,0
"vertex467",0,0,0,0,0
"vertex468",0,0,0,0,0
"vertex469",0,0,0,0,0
"vertex470",0,0,0,0,0
"vertex471",0,0,0,0,0
"vertex472",0,0,0,0,0
"vertex473",0,0,0,0,0
"vertex474",0,0,0,0,0
"vertex475",0,0,0,0,0
"vertex476",0,0,0,0,0
"vertex477",0,0,0,0,0
"vertex478",0,0,0,0,0
"vertex479",0,0,0,0,0
"vertex480",0,0,0,0,0
"vertex481",0,0,0,0,0
"vertex482",0,0,0,0,0
"vertex483",0,0,0,0,0
"vertex484",0,0,0,0,0
"vertex485",0,0,0,0,0
"vertex486",0,0,0,0,0
"vertex487",0,0,0,0,0
"vertex488",0,0,0,0,0
"vertex489",0,0,0,0,0
"vertex490",0,0,0,0,0
"vertex491",0,0,0,0,0
"vertex492",0,0,0,0,0
"vertex493",0,0,0,0,0
"vertex494",0,0,0,0,0
"vertex495",0,0,0,0,0
"vertex496",0,0,0,0,0
"vertex497",0,0,0,0,0
"vertex498",0,0,0,0,0
"vertex499",0,0,0,0,0
"vertex500",0,0,0,0,0
"vertex501",0,0,0,0,0
"vertex502",0,0,0,0,0
"vertex503",0,0,0,0,0
"vertex504",0,0,0,0,0
"vertex505",0,0,0,0,0
"vertex506",0,0,0,0,0
"vertex507",0,0,0,0,0
"vertex508",0,0,0,0,0
"vertex509",0,0,0,0,0
"vertex510",0,0,0,0,0
"vertex511",0,0,0,0,0
"vertex512",0,0,0,0,0
"vertex513",0,0,0,0,0
"vertex514",0,0,0,0,0
"vertex515",0,0,0,0,0
"vertex516",0,0,0,0,0
"vertex517",0,0,0,0,0
"vertex518",0,0,0,0,0
"vertex519",-0.00254823876268812,0,0,0,0
"vertex520",0,0,0,0,0
"vertex521",0,0,0,0,0
"vertex522",0,0,0,0,0
"vertex523",0,0,0,0,0
"vertex524",0,0,0,0,0
"vertex525",0,0,0,0,0
"vertex526",0,0,0,0,0
"vertex527",0,0,0,0,0
"vertex528",0,0,0,0,0
"vertex529",0,0,0,0,0
"vertex530",0,0,0,0,0
"vertex531",0,0,0,0,0
"vertex532",0,0,0,0,0
"vertex533",0,0,0,0,0
"vertex534",0,0,0,0,0
"vertex535",0,0,0,0,0
"vertex536",0,0,0,0,0
"vertex537",0,0,0,0,0
"vertex538",0,0,0,0,0
"vertex539",0,0,0,0,0
"vertex540",0,0,0,0,0
"vertex541",0,0,0,0,0
"vertex542",0,0,0,0,0
"vertex543",0,0,0,0,0
"vertex544",0,0,0,0,0
"vertex545",0,0,0,0,0
"vertex546",0,0,0,0,0
"vertex547",0,0,0,0,0
"vertex548",0,0,0,0,0
"vertex549",0,0,0,0,0
"vertex550",0,0,0,0,0
"vertex551",0,0,0,0,0
"vertex552",0,0,0,0,0
"vertex553",0,0,0,0,0
"vertex554",0,0,0,0,0
"vertex555",0,0,0,0,0
"vertex556",0,0,0,0,0
"vertex557",0,0,0,0,0
"vertex558",0,0,0,0,0
"vertex559",0,0,0,0,0
"vertex560",0,0,0,0,0
"vertex561",0,0,0,0,0
"vertex562",0,0,0,0,0
"vertex563",0,0,0,0,0
"vertex564",0,0,0,0,0
"vertex565",0,0,0,0,0
"vertex566",0,0,0,0,0
"vertex567",0,0,0,0,0
"vertex568",0,0,0,0,0
"vertex569",0,0,0,0,0
"vertex570",0,0,0,0,0
"vertex571",0,0,0,0,0
"vertex572",0,0,0,0,0
"vertex573",0,0,0,0,0
"vertex574",0,0,0,0,0
"vertex575",0,0,0,0,0
"vertex576",0,0,0,0,0
"vertex577",0,0,0,0,0
"vertex578",0,0,0,0,0
"vertex579",0,0,0,0,0
"vertex580",0,0,0,0,0
"vertex581",0,0,0,0,0
"vertex582",0,0,0,0,0
"vertex583",0,0,0,0,0
"vertex584",0,0,0,0,0
"vertex585",0,0,0,0,0
"vertex586",0,0,0,0,0
"vertex587",0,0,0,0,0
"vertex588",0,0,0,0,0
"vertex589",0,0,0,0,0
"vertex590",0,0,0,0,0
"vertex591",0,0,0,0,0
"vertex592",0,0,0,0,0
"vertex593",0,0,0,0,0
"vertex594",0,0,0,0,0
"vertex595",0,0,0,0,0
"vertex596",0,0,0,0,0
"vertex597",0,0,0,0,0
"vertex598",0,0,0,0,0
"vertex599",0,0,0,0,0
"vertex600",0,0,0,0,0
"vertex601",0,0,0,0,0
"vertex602",0,0,0,0,0
"vertex603",0,0,0,0,0
"vertex604",0,0,0,0,0
"vertex605",0,0,0,0,0
"vertex606",0,0,0,0,0
"vertex607",0,0,0,0,0
"vertex608",0,0,0,0,0
"vertex609",0,0,0,0,0
"vertex610",0,0,0,0,0
"vertex611",0,0,0,0,0
"vertex612",0,0,0,0,0
"vertex613",0,0,0,0,0
"vertex614",0,0,0,0,0
"vertex615",0,0,0,0,0
"vertex616",0,0,-0.136301737338487,0,0
"vertex617",0,0,0,0,0
"vertex618",0,0,0,0,0
"vertex619",0,0,0,0,0
"vertex620",0,0,0,0,0
"vertex621",0,0,0,0,0
"vertex622",0,0,0,0,0
"vertex623",0,0,0,0,0
"vertex624",0,0,0,0,0
"vertex625",0,0,0,0,0
"vertex626",0,0,0,0,0
"vertex627",0,0,0,0,0
"vertex628",0,0,0,0,0
"vertex629",0,0,0,0,0
"vertex630",0,0,0,0,0
"vertex631",0,0,0,0,0
"vertex632",0,0,0,0,0
"vertex633",0,0,0,0,0
"vertex634",0,0,0,0,0
"vertex635",0,0,0,0,0
"vertex636",0,0,0,0,0
"vertex637",0,0,0,0,0
"vertex638",0,0,0,0,0
"vertex639",0,0,0,0,0
"vertex640",0,0,0,0,0
"vertex641",0,0,0,0,0
"vertex642",0,0,0,0,0
"vertex643",0,0,0,0,0
"vertex644",0,0,0,0,0
"vertex645",0,0,0,0,0
"vertex646",0,0,0,0,0
"vertex647",0,0,0,0,0
"vertex648",0,0,0,0,0
"vertex649",0,0,0,0,0
"vertex650",0,0,0,0,0
"vertex651",0,0,0,0,0
"vertex652",0,0,0,0,0
"vertex653",0,0,0,0,0
"vertex654",0,0,0,0,0
"vertex655",0,0,0,0,0
"vertex656",0,0,0,0,0
"vertex657",0,0,0,0,0
"vertex658",0,0,0,0,0
"vertex659",0,0,0,0,0
"vertex660",0,0,0,0,0
"vertex661",0,0,0,0,0
"vertex662",0,0,0,0,0
"vertex663",0,0,0,0,0
"vertex664",0,0,0,0,0
"vertex665",0,0,0,0,0
"vertex666",0,0,0,0,0
"vertex667",0,0,0,0,0
"vertex668",0,0,0,0,0
"vertex669",0,0,0,0,0
"vertex670",0,0,0,0,0
